sim,storage,transport_cost,coating_cost,decoating_time,peelcoating_price,peelcoating_time,A,B,C,winner
1,3.227604565095932,80.93074660085585,11.028530010466351,15.629091176071716,15.573979360984804,18.282556634821326,38.181744568246835,123.95389801674659,146.0716485942272,A
2,5.3349395592970135,131.10229334326215,8.90796142056362,8.278691220794776,12.987035192860079,20.01210112154847,31.84756342108891,170.95226610329658,216.41546847528372,A
3,5.135475427458662,63.43012205937954,8.642523729009303,16.26663766676373,13.967503037650888,21.512516978975317,39.15360613481025,110.28694133537779,119.76760735671311,A
4,6.967257442344689,112.45345350771187,12.513019609061848,10.236438548638572,16.142517843703246,26.90395070265074,40.902777344562786,163.80711701579168,194.9847496787334,A
5,6.172363899665,133.49131507089388,13.342161119167914,16.927860122556027,15.376055302584618,21.07866819802564,40.71374084963906,183.46360177003044,231.03673770687777,A
6,3.5015770103938646,78.21965065174604,14.398296856896206,7.825290827988939,13.701938244426358,16.043402196951433,29.61440026105327,113.08641642839011,140.44621039690176,A
7,9.081870315214719,77.1904555080929,13.989228136606286,13.196827685616359,14.857953299971621,15.193717042243234,33.78498311854468,124.59824409945966,147.65466683770458,A
8,8.498288572264158,53.34345726537633,14.28182244982747,10.441408018467454,13.234046982794313,20.188449460257722,33.653951968611096,99.74484209238366,109.75623559913441,A
9,4.9590554005951315,64.82981086080846,14.69134801827396,7.001344562831995,13.911207077857375,14.485746314198265,28.235934329210878,100.50432829091204,121.56268275196979,A
10,5.157942029862688,93.06709371286823,15.475313600828953,15.241433028261005,14.759484484389363,22.159767200231215,39.69361797005084,140.4976247277131,170.394851552168,A
11,5.750117916208927,76.65832246879518,7.883895849487244,7.599648249893729,17.213346420089557,19.714065084487338,35.42248864301027,120.70598798611883,133.68792963548475,A
12,5.7276795669468745,48.978102904939355,13.074555002283716,9.535290198420986,13.938711571542513,13.430207897483522,29.24904363547885,86.81866589083852,98.62624905892028,A
13,5.506410729897641,148.18487868676002,11.235661475154798,13.607713611084934,13.383765722373019,19.5858042587727,35.51277763561144,191.95727241721792,248.09119930924908,A
14,3.178124079659564,65.52347244331071,12.714009583961722,15.208955279974312,15.923402082807709,17.87370464567781,37.97850869990913,108.26916726270917,124.31664584857022,A
15,5.85033716205876,74.93033291861562,14.838105210090088,10.645966717147278,14.642910024814999,23.018488025075836,37.08587985296374,120.79171851466751,140.18125289483712,A
16,2.6784705776876288,49.3370461476689,14.552630844395683,15.604642617099625,16.204408664639214,22.337630564462266,41.49925745234714,94.85400946654748,101.63976572165308,A
17,2.832738107080727,56.53176368263,6.798314361909766,14.90402648832098,16.00530775135401,20.010847765649462,39.2818905873343,100.0627614305854,104.36471565181614,A
18,2.718778484247593,109.11140682853484,12.787451595926523,7.088350729086992,13.533613268337348,18.949154133838817,30.89194984362122,144.08152439852745,183.89890747570104,A
19,6.045159118454473,74.08229880959041,11.33990321516288,15.531256929072047,13.984916558547896,24.03495637389873,40.36239209386174,123.51242958113387,138.862681834051,A
20,3.167364227686458,125.87434347852806,11.26261371282281,9.881401859965552,11.848809700954021,20.37717307594366,32.02119299156016,162.64658281161792,209.8290943982784,A
21,7.620754269934057,98.75643375616782,14.93080114868605,11.906964896127135,14.480865848639395,24.442934763342286,38.714132288285676,148.90169744935457,178.62418265028992,A
22,5.560267822058167,77.75358258775879,11.717275402831625,17.050064037092902,15.187084203513272,20.7170980785284,40.365192280594144,126.45917660144018,145.27462646458991,A
23,6.954171303034892,132.69080002043077,13.118904024583868,8.46629443659079,11.450619965785465,19.363782170945818,30.00400437080987,173.12606134579298,224.75347164932546,A
24,1.9354783251827254,81.54399982106028,7.7053805379039115,10.586109933295434,15.385479024071993,19.321993955993243,35.32421495026444,119.77143225909882,139.014265216874,A
25,4.874689941933052,87.48013523191071,11.399490317177658,8.115790382561201,15.05815108473271,20.525944066706717,34.15264071757799,128.94481086238827,152.90491002868424,A
26,2.277760425146809,111.07782197678492,13.391123874468436,13.775266158625804,14.078646925347014,19.4697358248904,36.24198158102448,150.73644419552963,191.46912803720983,A
27,3.5742035210695424,93.82909932281336,7.955739245561543,12.732652389965471,12.646482760499158,16.885411303700717,32.39185855627662,131.58226316069428,160.7620266774948,A
28,5.318396229169026,123.35834706361047,14.490822843445457,10.780689117790459,12.472980419544466,25.20235930754056,36.46167936976515,167.79762077712914,212.03386574655715,A
29,4.087304105099081,128.8205368691689,10.88123862715368,15.836103260977639,15.612791328300872,26.904697628719116,44.10665858809871,179.05815161491623,218.7567502099912,A
30,6.222500594334781,89.474073047995,12.229625949512876,10.082784486517683,14.787704636994416,20.841729727856965,35.404047446577515,134.21187138607468,159.38509244018528,A
31,6.9347157352265185,77.1658134403352,14.013830521979205,9.134653152307523,15.325623356450665,16.102726602491664,32.150543192983456,119.71843023615844,142.78703518591354,A
32,4.673137527851403,91.59878685387018,14.98688782530416,7.628451967318936,17.668024298793114,16.8899555956284,34.01362934075801,132.6221224864053,162.14384027884012,A
33,6.379787874436112,110.2942461106787,13.754900078418933,10.542018906020886,12.337985286721903,11.480034925357318,27.019354507640706,146.88328242997358,192.604069722887,A
34,6.44775005505288,83.48714022125426,10.275943581447299,7.946595737042088,16.71864748380942,14.987929996402219,32.008331306105624,125.16709660993921,147.25213445974296,A
35,7.064611410662462,75.24368866130818,9.046516374170425,10.254268917820744,14.688721269287157,19.790128346800113,34.71831944570106,120.55892522300294,135.81284005534232,A
36,1.7995494698926588,84.92711670675268,9.482578376974317,10.751726226553176,15.20460348580027,17.73531749621298,34.195965967644376,121.82240687923604,145.84062039136478,A
37,5.037825019375408,80.1113737567492,13.037976325586769,10.11193371433314,18.274743740172305,18.370184763909464,37.26282272566738,124.93093401147969,144.98415112297474,A
38,6.073698992132556,68.39238314991206,15.666293674983361,10.226103269973732,18.808659279309204,21.419050526428503,39.90542847691069,117.4083601150216,131.1459695719665,A
39,5.485580127369745,90.78950394081427,11.190142725964854,13.695500954699199,17.018719740947787,15.903444307588295,36.75134991580612,135.769224047675,161.99031273435548,A
40,2.1646284866893457,87.0041712875716,13.497871068144267,16.552687462012692,13.487656287996005,12.734927739060568,33.012733088711514,123.26384710631713,157.20388146086614,A
41,1.452860573710948,102.88662022292695,15.239363237603008,7.509437942045519,11.213908553938563,11.709762757194643,24.02670902009867,129.09262010359205,176.02844610706808,A
42,5.83380070847884,72.20609089749173,7.270098626096669,14.242922831899559,14.36862761993183,21.415001581588548,38.1405772289239,119.0973691891339,130.90831756874616,A
43,5.7132408698651895,117.86312394674862,9.991982410437306,11.563230500161627,13.841757308766752,21.258229542518038,35.72273067055319,162.1557159220996,200.20872953386652,A
44,0.151966038201925,61.43399096653818,7.561551499142341,9.539127794966731,14.098041619297389,17.582191346790786,32.17892104713574,93.8408610709768,106.22392251712937,A
45,1.9355363461898984,83.60898348420874,14.867748860446186,6.6213050919587495,15.49086324671488,18.762931352919708,32.41368754330052,118.9259755467941,146.63096382758835,A
46,1.3609045861159643,79.22100939863464,16.25301819696082,6.805494782943214,11.672863075997546,22.304703641780304,31.079662025813228,112.3420283036218,140.9824334029909,A
47,-1.7023629578438015,123.01038355519655,13.27902807590175,12.486670099602744,17.934986359636998,16.559685066704578,37.29922313717521,157.75606225560605,204.41668718392128,A
48,4.03489073114155,120.45918774402372,11.311314835564723,15.848545989239781,15.820368122094374,22.400614963586094,41.31980875731163,167.83133259804768,206.6006845089017,A
49,5.524933992752846,145.91296992637072,6.033929579020007,13.233143764501445,15.117173422509456,24.00251280683436,39.940944470066654,194.14131538556666,239.25041430432992,A
50,5.79402637266996,100.93432412131979,15.211518850956951,15.80656683284546,14.761788271169895,15.847354687405062,35.86440261800358,145.4897662983283,182.9447426275036,A
51,5.402396618172837,68.63067054817358,8.480662944448776,10.062909764099597,14.707879551017552,13.68601690300023,30.540497329084104,107.27476280451694,123.53767189428171,A
52,7.98179268656355,95.05389917474295,9.016517373955494,13.894502654952642,11.531749385982868,20.051563184933567,34.16245994590701,141.1890481504953,168.8421605926019,A
53,1.824249338352168,95.47019406238249,7.796454790694339,14.602336231085413,18.159418665801553,19.48101891003375,40.88165542654766,139.0882234964584,162.56088604334386,A
54,5.84680234902599,110.55694522396348,11.901447990278891,8.96297300818662,16.001162490193472,23.537409899092168,37.66808442837933,156.9952331758818,189.5589835140412,A
55,4.581398442499445,72.74350901489727,9.731195086180243,10.697665465304388,15.332844897076416,17.22680079801111,33.94915573928675,113.56476241793318,130.55963402789519,A
56,6.268268005211579,66.52384721232744,13.398440391106462,11.929362860945824,15.010736564859466,20.106919597053647,36.36825820352578,112.29450742367058,127.40538778877308,A
57,6.944313036354047,93.20551902118962,14.543745846913001,15.152214587425775,16.665486735621524,17.359508593271194,38.33996885608617,141.96195743180687,171.39781380666867,A
