sim,storage,transport_cost,coating_cost,decoating_time,max_uses,peelcoating_price,A,B,C,D,E,winner
58,3.658067038474193,102.06353491537241,11.199938241551717,5.698981125051052,120,4.801577061312011,1282.3267390686692,1392.4350585809516,3372.326739068669,1659.3724936202725,955.9051915963643,E
59,6.9454290685411415,50.39653422018743,10.064171615145197,6.365192543720391,120,2.41005638078864,848.4723579588291,949.9685242485269,2938.4723579588294,1300.4149553269067,568.7879241203754,E
60,1.907186538625255,58.94354812078272,9.214047662155108,8.264498973452465,120,2.3621517314579603,941.223734458596,1029.8768978859148,3031.2237344585965,1354.5549807188252,632.3001093283656,E
61,4.714579481495765,55.292310156051386,8.718267798786766,7.814185038168153,120,4.8296569585671,966.183543569674,980.9794363519845,3056.1835435696744,1328.149515736175,605.2448159533732,E
62,4.025576450827371,81.80869701100005,9.47661950748697,9.31604639034659,120,2.6212411439077496,1136.0035045221632,1241.8891080063145,3226.003504522163,1513.316214277258,804.0369748228317,E
63,2.913250561650569,94.5288138307819,13.671971755653418,5.911248414154932,120,2.666795111924342,1177.8905575937208,1392.9114074163049,3267.8905575937206,1617.2790349796392,899.3075002810576,E
64,4.581486862381082,112.93720775742767,7.343149985239338,8.211855432910586,120,2.40215758931091,1346.6074202424238,1429.8941435627771,3436.607420242424,1718.9254821227555,1037.5659511723927,E
65,5.764317347506336,106.91755658771073,10.598425425216659,7.2510299684756525,120,2.0921796646992474,1278.7859717953838,1443.1240374885847,3368.785971795384,1690.847948848977,992.5571803469913,E
66,2.704887281337516,118.63005111150503,7.404258209999179,2.673610809492685,120,2.388536075889612,1300.1450010878032,1389.4948706400614,3390.1450010878034,1757.853724120043,1080.0423623145693,E
67,6.749749446792672,113.16410806450372,7.889423857817309,6.202168122135866,120,2.5736422494045965,1320.523900686958,1412.975740337241,3410.5239006869583,1723.1956433188775,1039.521796747074,E
68,5.165006020497533,98.95831341036104,9.99335233274967,5.086163887565918,120,16.387589016558692,1527.4733833191983,1328.2304379655525,3617.4733833191985,1633.5627139228202,932.7926247207349,E
