sim,storage,transport_cost,coating_cost,decoating_time,peelcoating_time,A,B,C,winner
1,0.7296449691013995,55.258185403675554,8.57298965483546,15.177266920809274,18.4945407320331,24.785371768561582,27.603004411427964,22.87201375577238,C
2,6.4912999139972944,81.31123167467614,14.150131610481303,8.1366544677785,22.88090273499757,23.01587146851738,27.568280545800985,25.99747529363421,A
3,7.27990798530093,56.33256504124764,16.563535727739904,7.507818206307784,23.22858056816116,22.82843251631263,26.191053867272583,26.157685642637045,A
4,4.770213683483118,74.62457569699588,15.797739316962627,9.84318181287389,18.00767104900558,20.904735241252983,24.993730052364008,28.195214386994067,A
5,3.002842492846909,55.31853341696274,9.176485606316541,10.022718655549125,16.237995363039015,19.844642679058758,22.835782536870415,20.157330174263844,A
6,2.7530205244336607,65.34213093511923,7.0038468800097835,15.209392386603287,11.941787616059848,20.43828666844209,23.911869754530574,22.1817526507676,A
7,3.9770992984808173,73.13644156910993,14.183301797739333,18.9405201814365,20.840019410934556,28.85785972824737,32.81296425408893,32.49440333463762,A
8,6.563219676181964,32.18291167760368,13.832564920748862,8.588642570626986,22.384552593929964,22.9862967763713,25.08768383596513,22.30020599412956,C
9,3.69528907432257,109.52163493443135,13.236722935606611,8.657333348774173,16.904426244245055,19.37867306201282,25.13190148930858,27.40716557525454,A
10,2.163581370240247,40.11830924521697,13.975726909761555,5.846942967104936,18.22374565920173,18.38462575087111,20.552809815899977,20.9907411497348,A
11,6.310226890506143,86.95556462311927,11.111098751295119,9.346641067720528,19.589159714870284,21.628033855060544,26.449079103004465,24.179371487701392,A
12,8.336916417528704,110.96203263129479,15.520750188499282,7.864434646012157,16.74409890842267,18.743189036289884,24.916559399169277,29.502704887397595,A
13,5.29371660794789,92.13777491484322,11.716926338674025,7.821781340914492,27.603343008676326,25.954249566393877,30.95816705773213,24.106466181627656,C
14,4.228472198825315,81.51686167950815,14.370511234827882,11.921699708597705,15.191911145385973,20.41324056932245,24.806219068209757,28.643499276464063,A
15,6.79703290877647,66.31431381991561,7.302842171532251,8.359726997023529,18.781162054695038,20.431426034479045,24.25691919363306,18.189418684813763,C
16,5.317519759810238,90.35401488767116,8.058429013204151,10.862703986765705,14.75776126195779,19.417810165815663,24.334324892184988,22.342658775613803,A
17,7.014949888423672,70.62324790935986,12.32228827475602,10.503646329424923,17.231137412638816,20.827355828042492,24.88463946514226,24.972210248662474,A
18,3.9648016173496448,70.55629245055248,14.120258737594886,7.168512384253002,16.613949527640262,18.192474607928844,22.01764935175769,24.389229008422472,A
19,1.6408163227123769,65.48330484348368,15.919851475479135,10.072448889639555,17.863948444472552,20.961764889408073,24.358991355785683,27.6281060813024,A
20,5.818932950262416,78.25073896541964,9.94312848124257,14.307604110523247,23.587416064479214,27.600846783334973,31.949803702875634,25.641283291510995,C
21,6.173149764583251,148.14728867693827,12.426729519754128,18.142994386306945,18.450694920130864,26.733292870958543,34.603643537149196,35.941763249624955,A
22,5.576148432411787,78.71238391360069,10.41553583954472,8.144676840884769,16.41122043515225,18.708098184024678,23.061928512135598,22.027556615275206,A
23,2.854304085549591,126.894470989324,12.007295099440205,13.142678601470735,18.147777194731546,23.197803864134855,29.756600220017273,30.428881362230808,A
24,1.5179870841023844,101.07564165808567,15.82204674943868,10.09933568268138,13.108266012340849,17.809234463348155,22.976865577560115,30.211509683121143,A
25,6.274266137030612,49.91551397092357,10.922337701031326,8.013318547187602,23.03557605965358,23.036763071227455,26.00310873005093,20.32192692049386,C
26,2.5964016594240205,68.24704341475368,13.388010427356722,12.822796774260627,16.350712497543245,21.786506181202583,25.393588476397067,27.18488994927487,A
27,6.125050535723617,75.52635676027569,9.837979074202206,14.428319548225868,27.582234580656362,30.344536085921487,34.580232714114544,25.42758805682631,C
28,0.9254454253127413,97.59110710228586,12.174949908868058,8.9827219818715,25.086512882544902,25.050323242944266,29.999287004957015,25.5290365340528,A
29,4.4098679509261896,44.71787109914282,15.319137924796529,9.140551376112226,18.91269759660047,21.039665981808465,23.60629963308507,24.9871725721867,A
